sample_id,E_01_MULT,E_01_F3_MULT,BC_MULT,CD_MULT,C_01_Ti_MULT,C_08_Ile_MULT,C_09_MULT,C_02_MULT,C_20_MULT,C_26_MULT,C_27_MULT,C_28_MULT,C_29_MULT,DE_0_MULT,G_01_MULT,PERMZ_L1,PERMZ_L2,PERMZ_L3,PERMZ_L5,PERMZ_L6,PERMZ_L7,PERMZ_L8,PERMZ_L9,PERMZ_L10,PERMZ_L11,PERMZ_L12,PERMZ_L13,PERMZ_L14,PERMZ_L15,PERMZ_L16,PERMZ_L17,PERMZ_L18,PERMZ_L19,PERMZ_L20,PERMZ_L21,PERMZ_L22,MULTZ_L1,MULTZ_L15,MULTZ_L18,MULTZ_L20
0,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.029167833741088812,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.017198380196754577,0.01897572842559659,0.32252665194657226,0.04138621816500565,0.11915095033820637,0.19952623149688797,0.05661811956143608,0.4799660598153074,0.14663731039302746,1.6581479968931574,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
1,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.023687368039785703,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.013082461800367162,0.05463530129483479,0.48020263577666783,0.13174821230633624,0.09887603557817037,0.19952623149688797,0.07274140092249898,2.5159902485769985,0.13313521379977628,2.367153075849913,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
2,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.5308448996761832,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.07301008297847815,0.03056805486595502,0.3873621725718799,0.2882868182245332,0.009982089171578232,0.19952623149688797,0.029794295170582404,3.9484579341691917,0.3789499866721087,2.493942671060449,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
3,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.03169720374041551,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.22443591870812632,0.09579012589002572,0.16853755861402703,0.8205351315700004,0.02749426502018533,0.19952623149688797,0.723569603038994,4.116405607849014,0.07800635068141862,0.09956845695003815,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
4,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.030637363711033674,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.06270035763281963,0.4012739712988853,0.2472856640255855,0.298432892041857,0.05404816361221798,0.19952623149688797,0.6345269705307166,0.5737867740786805,4.213755061677995,0.1998347266581342,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
5,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.05385181773071573,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.1085027666138015,0.4650952238744708,0.3442328420548267,0.021366089103800192,0.42157716973326975,0.19952623149688797,0.2871867090064652,0.08041565368004576,0.2910519751911194,0.19641711984178833,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
6,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.0804130228366818,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.016899611803376333,0.5131603946291834,0.1547886297006477,0.37220671124086935,0.14920579203887763,0.19952623149688797,0.20033792504644285,3.880967488241343,5.94450388437768,0.19295726142769132,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
7,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.021435896986552516,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.28692729985007687,0.22743872242769994,0.03024032036161219,0.33216382576818076,0.04235205270662441,0.19952623149688797,0.036209758221315884,1.0258036547797158,0.40028183811953466,0.4872667633863018,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
8,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.2384200341455243,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.05387098455844696,0.016069257899185403,0.10297787328368607,0.8833900251304981,0.036613378777961544,0.19952623149688797,0.09842616469909331,0.27499962924900306,0.4553805240596115,0.08239657349501842,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
9,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.05487704929605605,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.8463070844797965,0.03909780797991308,0.5131157847867367,0.36278506536724026,0.5774027787982027,0.19952623149688797,0.09006431485354187,0.2101241236141767,0.09145652977600724,0.8294571432848585,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
10,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.29131689825753576,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.8863687501494252,1.1282090793289228,0.036219005404332476,0.05092265441149606,0.008732376238962265,0.19952623149688797,0.02260489811878368,2.4667395354634847,5.510628975726257,1.0589732659820545,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
11,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.015494476043053042,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.7696116404778288,0.23631471458023698,0.019176801528003714,0.02541687471327605,0.01772448163794066,0.19952623149688797,0.9839338956337045,1.2069328882193102,3.3051452235178473,3.2455844120810458,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
12,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.0645154317678975,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.12577270115359435,0.06817881078070856,1.2013297238382872,0.1328684605697498,0.015922968528295934,0.19952623149688797,0.6647839951544968,0.1254113290706643,0.6813976219960715,2.332563864203864,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
13,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.026261385090595533,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.2684534929407933,0.6021006277466477,0.03145399080124653,0.8357392254112679,0.05860150700138551,0.19952623149688797,0.21289514771131499,0.3038173146238047,0.11595768048494544,0.9239241903487663,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
14,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.010047392463719492,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.02478816362060664,0.7377573615069175,0.12480980198871396,0.0916046058472547,0.008688245765230083,0.19952623149688797,0.0756264516475655,3.8522377943119146,0.10815265170783883,3.266675853951747,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
15,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.18226145473260308,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.3476098077903536,0.02172328050027876,0.01974417554371236,0.3542927860063521,0.16646044052569067,0.19952623149688797,0.09974130929526026,0.7341483979672253,0.29404605482779345,0.6975345070487114,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
16,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.7790566449284301,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.06063612567767017,0.25129763558955853,0.01901424756162908,0.027846267712854006,0.04154476539802017,0.19952623149688797,0.03472808541758316,0.21870078897190318,0.11385076486730604,0.08745418363955199,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
17,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.01025265464491764,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.21698678791052056,0.02192833048637617,0.8071906815592533,0.1644487201054195,0.030466345126827003,0.19952623149688797,0.18632005844652724,4.8334343671912485,0.3235487836570004,4.779049938957201,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
18,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.7185166395045796,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.02296216543412465,0.13272421272591547,0.6636277936065542,0.027772957740202598,0.0516836712015518,0.19952623149688797,1.2430980038892396,0.9879529987584071,0.1543214209217778,1.8403988375155504,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
19,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.19420157483317727,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.08614186325233451,0.10250822307177893,0.07577203797859561,0.5655900385350423,0.06843573355443955,0.19952623149688797,0.7138426115713469,3.052639709347469,0.2065551928388555,3.6256582257737633,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
20,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.01,0.5011872336272722,0.4294280220642474,0.05011872336272722,1.0,0.1,19.952623149688797,0.05011872336272722,0.19952623149688797,0.039810717055349734,0.251188643150958,0.12589254117941673,0.037283156166434336,0.09077676050353498,0.03926422549877842,0.036081897238614075,0.010941613654291969,0.19952623149688797,0.5193650382065799,0.46496944006201435,5.703122423820048,2.7286275192852347,0.6309573444801932,0.6309573444801932,0.015848931924611134,0.003981071705534973,0.003981071705534973,0.01,0.01,1.0,0.05011872336272722,0.001,1e-05
