varname,min,base,max,dist_type
E_01_MULT,-3.0,-2.0,-1.0,log10
E_01_F3_MULT,-3.0,-2.0,-1.0,log10
BC_MULT,-2.0,-1.0,0.0,log10
CD_MULT,-2.0,-1.0,0.0,log10
C_01_Ti_MULT,-3.0,-2.0,-1.0,log10
C_08_Ile_MULT,-2.0,-1.0,0.0,log10
C_09_MULT,-2.0,-1.0,0.0,log10
C_02_MULT,-3.0,-2.0,-1.0,log10
C_20_MULT,-1.3,-0.3,0.7,log10
C_26_MULT,-2.0,-1.0,0.0,log10
C_27_MULT,-2.3,-1.3,-0.3,log10
C_28_MULT,-1.0,0.0,1.0,log10
C_29_MULT,-2.0,-1.0,0.0,log10
DE_0_MULT,0.3,1.3,2.3,log10
G_01_MULT,-2.3,-1.3,-0.3,log10
PERMZ_L1,-1.7,-0.7,0.3,log10
PERMZ_L2,-2.4,-1.4,-0.4,log10
PERMZ_L3,-1.6,-0.6,0.4,log10
PERMZ_L5,-1.9,-0.9,0.1,log10
PERMZ_L6,-1.9,-0.9,0.1,log10
PERMZ_L7,-1.9,-0.9,0.1,log10
PERMZ_L8,-1.9,-0.9,0.1,log10
PERMZ_L9,-2.0,-1.0,0.0,log10
PERMZ_L10,-2.2,-1.2,-0.2,log10
PERMZ_L11,-1.7,-0.7,0.3,log10
PERMZ_L12,-1.9,-0.9,0.1,log10
PERMZ_L13,-1.2,-0.2,0.8,log10
PERMZ_L14,-1.2,-0.2,0.8,log10
PERMZ_L15,-1.2,-0.2,0.8,log10
PERMZ_L16,-1.2,-0.2,0.8,log10
PERMZ_L17,-1.2,-0.2,0.8,log10
PERMZ_L18,-2.8,-1.8,-0.8,log10
PERMZ_L19,-3.4,-2.4,-1.4,log10
PERMZ_L20,-3.4,-2.4,-1.4,log10
PERMZ_L21,-3.0,-2.0,-1.0,log10
PERMZ_L22,-3.0,-2.0,-1.0,log10
MULTZ_L1,-1.0,0.0,1.0,log10
MULTZ_L15,-2.3,-1.3,-0.3,log10
MULTZ_L18,-4.0,-3.0,-2.0,log10
MULTZ_L20,-6.0,-5.0,-4.0,log10
